,index,Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Day,Feedback,correct
355,371,1,2,2,3,0.781,2.179,2,1,1
356,372,1,1,1,4,0.373,0.769,2,1,1
357,373,1,1,1,3,0.629,0.924,2,1,1
358,374,1,1,1,3,0.505,1.827,2,1,1
359,375,1,2,1,3,0.687,2.127,2,1,0
360,377,1,2,2,3,0.631,1.562,2,1,1
361,378,1,2,1,2,1.739,1.015,2,1,0
362,379,1,2,1,2,0.585,0.679,2,1,0
363,380,1,1,1,3,0.993,1.128,2,1,1
364,381,1,1,1,4,0.781,0.773,2,1,1
365,382,1,1,1,4,0.568,0.863,2,1,1
366,383,1,2,1,3,0.644,0.936,2,1,0
367,385,1,2,1,3,0.477,1.564,2,1,0
368,386,1,1,1,4,0.387,0.456,2,1,1
369,387,1,2,1,3,0.791,1.893,2,1,0
370,388,1,2,1,2,1.186,1.659,2,1,0
371,389,1,2,1,3,0.443,0.905,2,1,0
372,390,1,1,1,4,0.52,0.844,2,1,1
373,391,1,2,2,2,1.363,0.459,2,1,1
374,392,1,1,1,2,0.719,1.394,2,1,1
375,393,1,1,1,4,0.501,0.996,2,1,1
376,394,1,2,1,2,1.323,1.155,2,1,0
377,395,1,1,1,4,0.356,0.679,2,1,1
378,397,1,1,1,4,0.311,0.42,2,1,1
379,398,1,1,1,3,0.621,1.225,2,1,1
380,400,1,1,1,4,0.406,0.749,2,1,1
381,401,1,2,1,3,0.688,0.846,2,1,0
382,402,1,2,1,2,1.87,0.616,2,1,0
383,403,1,2,1,2,0.75,0.881,2,1,0
384,404,1,1,2,2,1.082,0.956,2,1,0
385,406,1,1,1,4,0.443,0.71,2,1,1
386,408,1,1,1,3,0.457,1.249,2,1,1
387,409,1,2,2,3,0.605,1.268,2,1,1
388,410,1,1,2,2,1.191,1.104,2,1,0
389,411,1,2,1,2,1.451,0.302,2,1,0
390,412,1,1,1,4,0.379,0.667,2,1,1
391,413,1,1,2,3,0.632,1.475,2,1,0
392,414,1,1,1,4,0.379,0.729,2,1,1
393,415,1,2,2,3,0.721,0.836,2,1,1
394,416,1,1,1,3,1.02,0.373,2,1,1
395,417,1,2,1,3,1.484,1.62,2,1,0
396,418,1,1,1,3,0.627,0.547,2,1,1
397,420,1,2,2,2,0.946,1.904,2,1,1
398,421,1,1,1,4,0.434,0.742,2,1,1
399,422,1,1,1,3,1.35,1.159,2,1,1
400,423,1,1,1,2,1.891,0.671,2,1,1
401,424,1,2,2,3,0.679,0.955,2,1,1
402,425,1,2,1,2,0.831,0.988,2,1,0
403,426,1,2,2,2,1.053,0.382,2,1,1
404,427,1,1,1,3,0.706,0.885,2,1,1
405,428,1,2,2,2,1.741,0.341,2,1,1
406,429,1,1,1,4,0.333,0.727,2,1,1
407,430,1,1,1,3,0.585,0.829,2,1,1
408,431,1,2,1,3,0.584,0.441,2,1,0
409,432,1,2,1,2,0.798,1.959,2,1,0
410,433,1,2,1,2,0.767,3.14,2,1,0
411,434,1,1,2,2,1.135,0.37,2,1,0
412,435,1,2,1,3,0.739,1.522,2,1,0
413,436,1,1,1,4,0.606,1.526,2,1,1
414,437,1,2,2,2,1.525,0.873,2,1,1
415,438,1,1,1,3,0.524,0.393,2,1,1
416,439,1,2,1,2,1.327,0.406,2,1,0
417,440,1,2,2,2,0.658,1.467,2,1,1
418,441,1,2,1,3,0.744,0.799,2,1,0
419,442,1,1,1,4,0.426,1.327,2,1,1
420,443,1,1,1,3,0.714,1.066,2,1,1
421,444,1,2,1,3,0.877,0.508,2,1,0
422,445,1,2,2,2,0.938,0.414,2,1,1
423,446,1,1,1,4,0.521,0.69,2,1,1
424,447,1,1,1,2,0.942,1.487,2,1,1
425,448,1,2,2,3,0.811,1.472,2,1,1
426,449,1,1,2,3,0.745,1.824,2,1,0
427,450,1,2,2,1,0.744,1.639,2,1,1
428,451,1,2,2,2,0.861,0.383,2,1,1
429,452,1,1,1,4,0.653,0.745,2,1,1
430,453,1,1,1,3,0.614,0.777,2,1,1
431,454,1,1,1,2,0.571,2.768,2,1,1
432,455,1,1,1,3,0.464,0.555,2,1,1
433,456,1,1,2,1,1.215,0.988,2,1,0
434,457,1,1,1,2,0.712,0.713,2,1,1
435,458,1,2,2,2,1.627,0.335,2,1,1
436,459,1,1,1,4,0.407,0.738,2,1,1
437,460,1,1,1,2,0.928,0.695,2,1,1
