ID,drift_rate,bound,non_dec,tau,CI1,CI2,CI3,confidence_noise,LL,AIC,BIC
35.0,0.887294008727475,0.5055379803659439,0.2311286785035858,0.5236303987824618,-0.4605351621580415,0.9622704376628828,5.422805599820924,0.9480510180093042,3439.0392666255098,6894.0785332510195,6942.540086809544
36.0,1.0870264688380553,0.38088570847068515,0.0858138272577531,0.001,-1.0494831260011486,0.2095492053401009,2.556871794597874,1.1406075070029635,2388.024171882578,4792.048343765156,4840.50989732368
37.0,1.9560455780544612,0.47806305883444494,0.07817136324419863,0.6161350945266004,1.0080447644660915,1.3632479020648098,1.100435156970604,0.10440724491875392,2590.6068666459955,5197.213733291991,5245.6752868505155
38.0,0.9849618613126832,0.6399485630090939,0.08290730786414069,0.955428298950607,-1.8027524615818664,2.1972475384181336,6.958917896583406,0.24676655544961218,2812.485814189474,5640.971628378948,5689.433181937472
39.0,1.6314329478688123,0.5173216843811959,0.08742619032160476,0.0011138919972725485,-1.5805631668741336,-0.04344461076234918,2.7996791896418998,1.0423189730044236,2715.532006409001,5447.064012818002,5495.5255663765265
40.0,1.6574860502255984,0.4739525948743192,0.07808019406175543,1.936343826958331,-1.4953900398822613,0.7899525836077872,6.285342623490049,0.7165619706045865,1549.7591632977853,3115.5183265955707,3163.9798801540956
41.0,0.9109820736991129,0.5264968742374132,0.1677881403115049,2.412896826117339,-1.1326663283002552,0.549572494328636,5.682238822628891,0.10410973498962163,2718.655592836543,5453.311185673086,5501.77273923161
42.0,1.307311349798938,0.5892564604751945,0.07800262111008019,0.35638553052435895,0.7962741629833717,1.8129744232317253,2.3501169658283505,0.5676210048995498,3702.2959292346563,7420.591858469313,7469.053412027837
43.0,0.9209042764546018,0.4929164773443507,0.07549837548283209,1.165835702234243,-2.5047353641990067,-0.24004125597599257,5.014461741297673,0.5755040491172712,2967.15060273596,5950.30120547192,5998.762759030445
44.0,0.7144940114806991,0.5545094658925304,0.09987768777808628,1.2634083150290207,-3.571782016716456,0.428217983283544,7.9775655002107015,1.9025586865458775,4330.532996904031,8677.065993808063,8725.527547366588
45.0,0.6376146988789532,0.4279831915468368,0.081525999624179,2.8504427618913155,0.05234636650237737,3.1850934796054267,6.34043712310441,0.6324465937016611,2742.5971604761667,5501.194320952333,5549.655874510858
46.0,1.323052428276598,0.37199446106920836,0.08477321693125667,0.1849369320278264,0.5422582280991592,1.080774556427835,1.243128604905888,0.3946638016106283,1394.6325144394136,2805.2650288788273,2853.726582437352
47.0,1.4822011115627485,0.5320092658498549,0.07390434957262995,1.1531851324175522,-2.9615184940243595,0.8921646176000202,7.853683111624379,0.961339376024714,2127.3121782291228,4270.6243564582455,4319.08591001677
48.0,1.2725187957001454,0.5944583086061527,0.090095791184719,0.9253110540392127,-1.741293511546469,-0.083055787275645,2.88106399022239,0.8086041324222756,3590.640278055819,7197.280556111638,7245.742109670163
49.0,1.1240481964520315,0.5390982131562823,0.11005476307932877,1.363793712783604,0.967852786693788,2.29164854230463,2.763521346862417,0.20904244500848942,4025.77357073188,8067.54714146376,8116.008695022285
50.0,1.6379925117671537,0.5226673338618306,0.08385009167487265,0.8332796811034402,1.183363539536905,2.033231322018646,1.773435671938871,0.03958330381936931,3292.3221849060105,6600.644369812021,6649.1059233705455
51.0,1.3654269676296575,0.5701606142738552,0.09689587944193145,1.1939479752113624,1.989930671601778,3.3414594655135943,2.320969829416575,0.1999361481190386,3354.963260500965,6725.92652100193,6774.388074560455
52.0,0.5160977283932667,0.4215981271158458,0.0790530285284664,1.6002984477506532,1.680131559953995,3.0830784346709743,3.3902666251646845,0.691427386191056,2081.5010450734176,4179.002090146835,4227.46364370536
53.0,1.821877554657526,0.4761731003370649,0.09722101148425297,0.16728822176684316,1.265455929500249,2.8988221135459113,3.1698707991713118,0.8489090051670943,672.4218102281162,1360.8436204562324,1409.305174014757
54.0,1.4173234146327638,0.46272548669087965,0.08491671077200316,0.4689317078057187,0.08496392628393046,0.7843814488362859,1.8976085940657663,0.5428658334137925,3196.799624746073,6409.599249492146,6458.06080305067
55.0,0.7812930010128062,0.4934369157748564,0.07575449800511963,1.1098919719701548,0.9972851608783145,1.3362432515305211,1.4493394401637698,0.7281359725300617,3872.899661112395,7761.79932222479,7810.260875783314
56.0,0.538925858008512,0.6173083992177536,0.12926975459902207,1.7729802370857912,-1.391960319606467,2.6080396803935333,6.690379152552678,2.7029265435578123,5574.369909352258,11164.739818704516,11213.201372263042
57.0,1.1737206512881584,0.6354691498143002,0.08319230264674615,0.30240923033753137,-3.0188137687963184,0.9811862312036816,5.98920249843003,0.9401266364272223,3411.0387496137623,6838.077499227525,6886.539052786049
58.0,1.037786941814942,0.5920797264245181,0.09927151271562762,0.9948868503918339,0.3259262789164997,2.9463975392068766,5.697869812623239,1.6078087958860183,4346.768406995415,8709.53681399083,8757.998367549355
59.0,1.6533618832523531,0.6261335404727907,0.08098280187432508,0.997415593173885,-1.4587028334405336,1.5026052575123576,5.448353507056231,0.0416210412488255,2059.471572240176,4134.943144480352,4183.404698038877
